BLOK,DERSLİK,YAKIN DERSLİK
M,M101,"S101,M201,M301,S201,S202"
M,M201,"M301,M101,S201,S202"
M,M301,"M201,M101,S201,S202"
S,S101,"M101,S201,S202,M201,M301"
S,S201,"S101,S202,M201,M301"
S,S202,"S101,S201,M201,M301"
K,K001,"K002,AMFİA,AMFİB"
K,K002,"K001,AMFİA,AMFİB"
D,D101,"D102,D103,D104,D201,D202"
D,D102,"D101,D103,D104,D201,D202"
D,D103,"D101,D102,D104,D201,D202"
D,D201,"D202,D101,D103,D104,D102,D301,D302"
D,D202,"D201,D101,D103,D104,D102,D301,D302"
D,D301,"D201,D202,D302"
D,D302,"D201,D202,D301"
D,D401,"D301,D302,D403,D402"
D,D402,"D301,D302,D403,D401"
D,D403,"D301,D302,D402,D401"
E,E101,"E102,D201,D202"
E,E102,"E101,D201,D202"
A,AMFİA,"AMFİB,K001,K002"
A,AMFİB,"AMFİA,K001,K002"
